Наименование|Обозначение|Кол-во|Материал|Материал2|Материал3|ID|Кол-во на изд.|Масса|Покуп. изд.|Сумм.кол-во|010100|комплектация|изготовление|контроль|010101|комплектация|изготовление|контроль|010201|комплектация|изготовление|контроль|010301|комплектация|изготовление|контроль|010401|комплектация|изготовление|контроль|010202|комплектация|изготовление|контроль|060101|комплектация|изготовление|контроль|010104|комплектация|изготовление|контроль|010202|комплектация|изготовление|контроль|010301|комплектация|изготовление|контроль|010201|комплектация|изготовление|контроль|010303|комплектация|изготовление|контроль|010401|комплектация|изготовление|контроль|010402|комплектация|изготовление|контроль|010401|комплектация|изготовление|контроль
    Корпус|    КТ.1408182.11.04|4||||0x108000409|1|86.33||4|Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||Время: 13.1 мин.$Операции:$020||||Время: 13.1 мин.$Операции:$025||||||||||||Время: 13.1 мин.$Операции:$030|||||||||||
        Кольцо|        КТ.1408182.11.03.008|4|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000647|1|12.6||8|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3079 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3123 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015|4 шт. (полный компл.)|Полный компл.$3129 Завершен$3135 Завершен$3136 Завершен$3137 Завершен$3138 Завершен$3139 Завершен$3140 Завершен|139 Исправлен$140 Исправлен$141 Исправлен$142 Исправлен|||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Обечайка|        КТ.1408182.11.04.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000648|1|38.3||4|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3080 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3124 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015|4 шт. (полный компл.)|Полный компл.$3130 Завершен|143 Неисп-мый|||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Кольцо|        КТ.1408182.11.03.004|4|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x108000649|1|7.79||8|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3081 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3125 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015|4 шт. (полный компл.)|Полный компл.$3131 Завершен|144 Неисп-мый|||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Обечайка|        КТ.1408182.11.03.005|4|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x10800064A|1|10.68||8|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3082 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3126 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015|4 шт. (полный компл.)|Полный компл.$3132 Завершен|145 Неисп-мый$146 Неисп-мый$147 Неисп-мый|||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Кольцо|        КТ.1408182.11.03.006|4|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x10800064B|1|8.41||8|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3083 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3127 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015|4 шт. (полный компл.)|Полный компл.$3133 Завершен$3141 Завершен$3142 Завершен|148 Исправлен|||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Обечайка|        КТ.1408182.11.03.007|4|Лист|Б-ПН-4 ГОСТ 19903-2015|12Х18Н10Т ГОСТ 7350-77|0x10800064C|1|8.54||8|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3084 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3128 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015|4 шт. (полный компл.)|Полный компл.$3134 Завершен||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Планка прижимная|    КТ.1408182.11.05|4||||0x10800040A|1|9.8||8|Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||Время: 13.1 мин.$Операции:$020||||Время: 13.1 мин.$Операции:$025||||||||||||Время: 13.1 мин.$Операции:$030|||||||||||
        Сектор|        КТ.1408182.11.05.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800064D|1|1.63||48|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3085 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3096 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.05.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800064E|1|1.63||48|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3086 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3097 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.05.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800064F|1|1.63||48|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3087 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3098 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.05.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000650|1|1.63||48|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3088 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3099 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.05.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000651|1|1.63||48|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3089 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3100 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.05.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000652|1|1.63||48|||||Время: 13.1 мин.$Операции:$005|4 шт. (полный компл.)|Полный компл.$3090 Завершен||Время: 2.1 мин.$Операции:$010|4 шт. (полный компл.)|Полный компл.$3101 Завершен||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Планка прижимная|    КТ.1408182.11.05|4||||0x10800040B|1|9.8||8|Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||Время: 13.1 мин.$Операции:$020||||Время: 13.1 мин.$Операции:$025||||||||||||Время: 13.1 мин.$Операции:$030|||||||||||
        Сектор|        КТ.1408182.11.05.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000653|1|1.63||48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.05.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000654|1|1.63||48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.05.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000655|1|1.63||48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.05.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000656|1|1.63||48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.05.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000657|1|1.63||48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.05.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000658|1|1.63||48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Планка опорная|    КТ.1408182.11.06|4||||0x10800040C|1|9.68||8|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.06.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000659|1|1.61||48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.06.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800065A|1|1.61||48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.06.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800065B|1|1.61||48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.06.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800065C|1|1.61||48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.06.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800065D|1|1.61||48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.06.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800065E|1|1.61||48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Планка опорная|    КТ.1408182.11.06|4||||0x10800040D|1|9.68||8|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.06.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800065F|1|1.61||48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.06.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000660|1|1.61||48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.06.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000661|1|1.61||48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.06.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000662|1|1.61||48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.06.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000663|1|1.61||48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
        Сектор|        КТ.1408182.11.06.001|4|Лист|Б-ПН-6 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000664|1|1.61||48|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Штанга транспортировочная|    КТ.1408182.11.07|4|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800040E|1|6.07||24|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Штанга транспортировочная|    КТ.1408182.11.07|4|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x10800040F|1|6.07||24|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Штанга транспортировочная|    КТ.1408182.11.07|4|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000410|1|6.07||24|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Штанга транспортировочная|    КТ.1408182.11.07|4|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000411|1|6.07||24|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
    Штанга транспортировочная|    КТ.1408182.11.07|4|Лист|Б-ПН-8 ГОСТ 19903-2015|Ст3сп5 ГОСТ 14637-89|0x108000412|1|6.07||24|||||Время: 13.1 мин.$Операции:$005||||Время: 2.1 мин.$Операции:$010||||||||||||||||Время: 3.1 мин.$Операции:$015||||||||||||||||||||Время: 13.1 мин.$Операции:$020||||||||Время: 13.1 мин.$Операции:$025||||Время: 13.1 мин.$Операции:$030|||
